Sr. No,Nature of security pledged,Date of agreement,Due date of filing,Date of filing Charge,Reason for Delay,Location
1,"UnattestedDeedofHypothecationdatedAugust25,2025(DOH)executedby
CleanMaxUranusPrivateLimited(Company)infavourofIDBITrusteeship
Services Limited (Security Trustee), for availing facility of INR 86,75,00,000/-
andalloutstandingsandHypothecationdatedAugust25,2025(DOH)executedby
CleanMaxUranusPrivateLimited(Company)infavourofIDBITrusteeship
Services Limited (Security Trustee).",25-Aug-25,24-Sep-25,03-Oct-25,"Due to certain technical
challenges while
uploading on the portal","Registrar of Companies
(ROC), Mumbai."
2,"DeedofGuaranteedatedJune25,2025executedbyCleanMaxEnviroEnergy
SolutionsLimited(Guarantor)(erstwhileCleanMaxEnviroEnergySolutions
PrivateLimited)infavourofCatalystTrusteeshipLimited(SecurityTrustee),for
securingtermloanfacilityofRs.67,78,00,000(Facility)availedbyCleanMax
Fragma Private Limited (Borrower).",25-Jun-25,24-Jul-25,12-Sep-25,"Due to delay in receipt
of signed Deed of
Guarantee","Registrar of Companies
(ROC), Mumbai."
3,"UnattestedDeedofHypothecation(DOH)datedJuly21,2025executedbythe
Company(erstwhileCleanMaxEnviroEnergySolutionsPrivateLimited)in
favourofIDBITrusteeshipServicesLimited(asSecurityTrustee)forthebenefit
oftheLendersandotherfinancepartiestosecuretherupeefacilitiesforan
aggregate principal amount not exceeding Rs. 24,55,00,000 (Facility)",21-Jul-25,19-Aug-25,04-Sep-25,"Due to delay in receipt
of signed Deed of
Hypothecation","Registrar of Companies
(ROC), Mumbai."
4,"AmendedandRestated Deedof Hypothecationdated 23July 2025, entered
betweenCleanMax EnviroEnergySolutionsLimited(erstwhile CleanMax
EnviroEnergySolutionsPrivateLimited)(Borrower)infavourofIndusindBank
Limited (Bank) for facility amounting to INR 2,42,80,00,000.",23-Jul-25,21-Aug-25,22-Aug-25,"Due to certain technical
challenges while
uploading on the portal","Registrar of Companies
(ROC), Mumbai."
5,"UnattestedDeedofHypothecation(DOH)datedJuly21,2025executedbyClean
Max Enviro EnergySolutions Limited(erstwhile CleanMax EnviroEnergy
SolutionsPrivateLimited)(Company)infavourofIDBITrusteeshipServices
Limited(asSecurityTrustee);and(ii)PledgeAgreementdated21July,2025
executedamongsttheCompany,CleanMaxNabiaPrivateLimited(Borrower)and
SecurityTrustee(PledgeAgreement),eachforthebenefitoftheLendersandother
financepartiestosecuretherupeefacilitiesforanaggregateprincipalamountnot
exceeding Rs. 29,70,00,000 (Facility).",21-Jul-25,19-Aug-25,20-Aug-25,"Due to delay in receipt
of signed Deed of
Hypothecation","Registrar of Companies
(ROC), Mumbai."
6,"(i)UnattestedDeedofHypothecation(DOH)datedJuly21,2025executedby
CleanMaxEnviroEnergySolutionsPrivateLimited(Company)infavourofIDBI
TrusteeshipServicesLimited(asSecurityTrustee);and(ii)PledgeAgreement
datedJuly21,2025executedamongsttheCompany,CleanMaxNarmadaPrivate
Limited(Borrower)andSecurityTrustee(PledgeAgreement),eachforthebenefit
oftheLendersandotherfinancepartiestosecuretherupeefacilitiesforan
aggregate principal amount not exceeding Rs. 27,45,00,000 (Facility).",21-Jul-25,19-Aug-25,20-Aug-25,"Due to delay in receipt
of signed Deed of
Hypothecation","Registrar of Companies
(ROC), Mumbai."
7,"UnattestedDeedofHypothecation(DOH)datedJuly21,2025executedbyClean
Max Enviro EnergySolutions Limited(erstwhile CleanMax EnviroEnergy
SolutionsPrivateLimited)Company)infavourofIDBITrusteeshipServices
Limited(asSecurityTrustee);and(ii)PledgeAgreementdated21July,2025
executed amongst the Company, Clean Max Everglades Private Limited
(Borrower)andSecurityTrustee(PledgeAgreement),eachforthebenefitofthe
Lendersandotherfinancepartiestosecuretherupeefacilitiesforanaggregate
principal amountnot exceeding Rs. 52,95,00,000 (Facility).",21-Jul-25,19-Aug-25,20-Aug-25,"Due to delay in receipt
of signed Deed of
Hypothecation","Registrar of Companies
(ROC), Mumbai."
8,"i)UnattestedDeedofHypothecation(DOH)datedJuly21,2025executedby
CleanMaxEnviroEnergySolutionsPrivateLimited(Company)infavourofIDBI
TrusteeshipServicesLimited(asSecurityTrustee);and(ii)PledgeAgreement
datedJuly21,2025executedamongsttheCompany,CleanMaxAndesPrivate
Limited(Borrower)andSecurityTrustee(PledgeAgreement),eachforthebenefit
oftheLendersandotherfinancepartiestosecuretherupeefacilitiesforan
aggregate principal amount not exceeding Rs. 28,70,00,000 (Facility)",21-Jul-25,19-Aug-25,20-Aug-25,"Due to delay in receipt
of signed Deed of
Hypothecation","Registrar of Companies
(ROC), Mumbai."
9,"DeedofHypothecationdated21July2025executedbyCleanMaxAndesPrivate
Limited(Borrower) infavour ofIDBITrusteeshipServiceLimited(Security
Trustee) for securingcredit facilityavailed bythe Companyfor anamount
aggregating to INR 28,70,00,000 (Facility)",21-Jul-25,19-Aug-25,20-Aug-25,"Due to delay in receipt
of signed Deed of
Hypothecation","Registrar of Companies
(ROC), Mumbai."
10,"UnattestedDeedofHypothecationdated19March2025(''Deed'')executedby
CleanMaxEnviroEnergySolutionsLimited(formerlyknownasCleanMax
EnviroEnergySolutionsPrivateLimited)(Hypothecator)infavourofICICIBank
Limited",19-Mar-25,17-Apr-25,14-May-25,"Due to delay in receipt
of signed Deed of
Hypothecation","Registrar of Companies
(ROC), Mumbai."
11,"UnattestedDeedofPledgeofSharesdated27thDecember,2023executedby
CleanMaxEnviroEnergySolutionsLimited(formerlyknownasCleanMax
EnviroEnergySolutionsPrivateLimited)(Pledgor)andCleanMaxKratosPrivate
Limited(Borrower)infavourofCatalystTrusteeshipLimited(SecurityTrustee)to
securefinancialassistancebywayofrupeetermloanofRs.3,45,20,00,000/-
availed by Borrower.",27-Dec-23,26-Jan-24,21-Feb-24,"Due to certain technical
challenges while
uploading on portal.","Registrar of Companies
(ROC), Mumbai."
12,"Unattesteddeedofpledgeofsharesdated25thNovember,2022executedbyClean
MaxKratosPrivateLimitedinfavourofCatalystTrusteeshipLimitedreadwith
the Master Amendment Agreement dated 28th August, 2023 and Deed of
Adherence dated 28th August, 2023",28-Aug-23,27-Sep-23,04-Oct-23,"Due to certain technical
challenges while
uploading on portal.","Registrar of Companies
(ROC), Mumbai."
13,"PledgeAgreementdated2ndJune,2023,enteredintobetweentheCompanyand
IDBITrusteeshipServicesLimited(SecurityTrustee)forcreatingachargebyway
ofPledgeofSecurities asdefinedunder theattachedPledgeAgreementfor
securing the facilities availed by Clean Max Matahari Private Limited (Borrower)",02-Jun-23,01-Jul-23,27-Jul-23,"Due to certain technical
challenges while
uploading on portal.","Registrar of Companies
(ROC), Mumbai."
14,"PledgeAgreementdated2ndJune,2023,enteredintobetweentheCompanyand
IDBITrusteeshipServicesLimited(SecurityTrustee)forcreatingachargebyway
ofPledgeofSecurities asdefinedunder theattachedPledgeAgreementfor
securing the facilities availed by Clean Max Saura Private Limited (Borrower).",02-Jun-23,01-Jul-23,27-Jul-23,"Due to certain technical
challenges while
uploading on portal.","Registrar of Companies
(ROC), Mumbai."
15,"PledgeAgreementdated2ndJune,2023,enteredintobetweentheCompanyand
IDBITrusteeshipServicesLimited(SecurityTrustee)forcreatingachargebyway
ofPledgeofSecurities asdefinedunder theattachedPledgeAgreementfor
securing the facilities availed by Clean Max Thennal Private Limited (Borrower).",02-Jun-23,01-Jul-23,27-Jul-23,"Due to certain technical
challenges while
uploading on portal.","Registrar of Companies
(ROC), Mumbai."
